State,District,Total Sex Ratio,Rural Sex Ration,Urban Ratio,Total Households,Rural Households,Urban Households,Total Households With Electricity Pct,Rural Households With Electricity Pct,Urban Households With Electricity Pct,Total Households With Landline Conn Pct,Rural Households With Landline Conn Pct,Urban Households With Landline Conn Pct,Total Households With Mobile Conn Pct,Rural Households With Mobile Conn Pct,Urban Households With Mobile Conn Pct,Total Households With Internet Pct,Rural Households With Internet Pct,Urban Households With Internet Pct
Arunachal Pradesh,East Siang,980.0,980.0,978.0,19095.0,12904.0,6191.0,74.5273631840796,66.24302541847489,91.79454046196092,4.94,3.39,8.16,55.29,48.88,68.63,2.36,1.56,4.02
Arunachal Pradesh,Kurung Kumey,1032,1036,882.0,15962.0,15417.0,545.0,24.501942112517227,22.137899721087113,91.37614678899084,0.98,0.88,3.85,18.72,16.75,74.5,0.6,0.43,5.32
Arunachal Pradesh,Lohit,912,921,882,29407.0,22412.0,6995.0,58.34325160676029,49.00945921827592,88.24874910650465,2.56,1.95,4.52,39.1,31.39,63.82,1.06,0.37,3.26
Arunachal Pradesh,Lower Dibang Valley,928.0,941.0,878,10883.0,8626.0,2257.0,54.50702931177065,43.32251333178762,97.25299069561365,1.99,1.99,1.99,53.33,48.42,72.09,1.9,1.28,4.3
Arunachal Pradesh,Lower Subansiri,984.0,980,1006.0,15134.0,12066.0,3068.0,82.54922690630369,78.31924415713574,99.1851368970013,3.34,3.28,3.55,49.09,45.43,63.46,2.52,1.99,4.6
Assam,Baksa,974.0,974.0,942.0,190667.0,188191.0,2476.0,23.299784440936293,22.734881051697478,66.23586429725363,1.99,1.99,1.62,41.79,41.54,60.38,0.62,0.6,1.53
Assam,Dima Hasao,932.0,948.0,894.0,42888.0,29499.0,13389.0,45.20844991606044,24.536424963558087,90.75360370453357,1.88,1.27,3.21,39.14,25.12,70.04,1.22,0.42,2.98
Assam,Goalpara,964.0,963.0,971.0,197545.0,168874.0,28671.0,39.80915740717305,35.57918921799685,64.72393707927871,1.39,1.29,1.98,44.53,41.89,60.08,0.69,0.43,2.25
Assam,Golaghat,964.0,965.0,953.0,224853.0,202469.0,22384.0,36.6217039576968,30.812124325205343,89.17083631165119,2.28,1.9,5.67,41.74,38.65,69.69,1.37,0.82,6.31
Assam,Hailakandi,951.0,948.0,994.0,143567.0,133055.0,10512.0,30.74731658389463,26.512344519183795,84.35121765601218,2.27,2.07,4.77,34.56,32.07,66.05,0.84,0.61,3.84
Assam,Jorhat,962.0,968.0,937.0,233118.0,181811.0,51307.0,52.36103604183289,42.63768418852545,86.81661371742648,3.17,2.4,5.88,49.0,43.76,67.59,2.42,1.14,6.97
Assam,Kamrup (Rural),949.0,947.0,969.0,305342.0,274590.0,30752.0,40.01775058786541,35.59925707418333,79.47125390218523,2.69,2.59,3.56,49.82,47.94,66.61,1.02,0.87,2.35
Assam,Kamrup Metropolitan,936.0,953.0,933.0,290388.0,42247.0,248141.0,86.38821163408956,51.733850924325985,92.28825546765749,5.43,2.89,5.87,75.28,57.19,78.36,10.03,1.73,11.44
Assam,Karbi Anglong,951.0,953.0,940.0,176991.0,152837.0,24118.0,30.463695894141512,22.602511172032948,80.32589766979021,2.49,2.47,2.56,39.54,34.72,70.12,1.09,0.78,3.05
Assam,Karimganj,963.0,961.0,982.0,247247.0,223720.0,23527.0,28.696404809765134,23.410066154121225,78.96459387087177,1.94,1.73,3.91,38.27,35.78,61.9,0.78,0.51,3.41
Assam,Kokrajhar,959.0,961.0,931.0,180071.0,168278.0,11793.0,22.975937269188265,18.582345880031852,85.66946493682693,1.53,1.42,3.1,39.39,36.98,73.79,0.68,0.43,4.26
Assam,Barpeta,953.0,953.0,959.0,338472.0,306688.0,31784.0,25.054952846912006,0.8849384390651085,1.2742260256732947,1.22,1.07,2.67,42.53,39.58,70.99,0.61,0.4,2.66
Assam,Lakhimpur,968.0,970.0,939.0,203272.0,181790.0,21482.0,29.662717934590106,23.736179107761703,79.81565962200912,1.51,1.31,3.22,42.42,39.33,68.6,68.6,0.6,4.01
